TRAC Assigned Identifier for Individual,State,Detention Facility,Nationality,Gender,Book-In Date,Book-Out Date,Reason for Book-Out
16450,Illinois ,JEFFERSON COUNTY JAIL ,MEXICO ,Male ,8-Nov-12,9-Nov-12,U.S. Marshals or other agency  
16450,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,9-Nov-12,9-Nov-12,Transferred
16450,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,9-Nov-12,19-Nov-12,Removed
16837,Illinois ,MCHENRY COUNTY SHERIFF'S ,GERMANY ,Male ,4-Nov-12,5-Nov-12,Transferred
16837,Illinois ,CHICAGO HOLD ROOM ,GERMANY ,Male ,5-Nov-12,5-Nov-12,Transferred
16837,Illinois ,MCHENRY COUNTY SHERIFF'S ,GERMANY ,Male ,5-Nov-12,5-Nov-12,Order of supervision
16842,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,15-Nov-12,15-Nov-12,Order of recognizance
16914,Illinois ,JEFFERSON COUNTY JAIL ,JAMAICA ,Male ,18-May-12,21-May-12,Transferred
16914,Illinois ,BROADVIEW SERVICE STAGING ,JAMAICA ,Male ,21-May-12,21-May-12,Transferred
16914,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",JAMAICA ,Male ,21-May-12,13-Jun-12,Transferred
16914,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,13-Jun-12,13-Jun-12,Transferred
16914,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",JAMAICA ,Male ,13-Jun-12,3-Aug-12,Transferred
16914,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,3-Aug-12,3-Aug-12,Transferred
16914,Illinois ,JEFFERSON COUNTY JAIL ,JAMAICA ,Male ,3-Aug-12,21-Aug-12,Transferred
16914,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,21-Aug-12,21-Aug-12,Transferred
16914,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",JAMAICA ,Male ,21-Aug-12,28-Aug-12,Transferred
16914,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,28-Aug-12,28-Aug-12,Transferred
16914,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",JAMAICA ,Male ,28-Aug-12,17-Sep-12,Transferred
16914,Illinois ,BROADVIEW SERVICE STAGING ,JAMAICA ,Male ,17-Sep-12,17-Sep-12,Transferred
16914,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",JAMAICA ,Male ,17-Sep-12,5-Oct-12,Transferred
16914,Illinois ,BROADVIEW SERVICE STAGING ,JAMAICA ,Male ,5-Oct-12,5-Oct-12,Transferred
16914,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,5-Oct-12,16-Nov-12,Transferred
16914,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,16-Nov-12,16-Nov-12,Transferred
